,ID,neighbor,n_ID,n_name,n_overall,n_age,n_position,n_club,n_league,n_eur_value,n_eur_release_clause
831,188879,,,,,,,,,,
832,188840,,,,,,,,,,
833,188829,,,,,,,,,,
834,188427,,,,,,,,,,
835,188268,,,,,,,,,,
836,188135,,,,,,,,,,
837,188103,,,,,,,,,,
838,187736,,,,,,,,,,
839,187702,,,,,,,,,,
840,187607,,,,,,,,,,
841,187366,,,,,,,,,,
842,187052,,,,,,,,,,
843,186832,,,,,,,,,,
844,186805,,,,,,,,,,
845,186581,,,,,,,,,,
846,186345,,,,,,,,,,
847,186302,,,,,,,,,,
848,186115,,,,,,,,,,
849,184134,,,,,,,,,,
850,183871,,,,,,,,,,
851,183568,,,,,,,,,,
852,183394,,,,,,,,,,
853,183332,,,,,,,,,,
854,183249,,,,,,,,,,
855,183125,,,,,,,,,,
856,182879,,,,,,,,,,
857,182862,,,,,,,,,,
858,182836,,,,,,,,,,
859,182744,,,,,,,,,,
860,181262,,,,,,,,,,
861,180826,,,,,,,,,,
862,180714,,,,,,,,,,
863,180283,,,,,,,,,,
864,178625,,,,,,,,,,
865,178322,,,,,,,,,,
866,178160,,,,,,,,,,
867,178085,,,,,,,,,,
868,178031,,,,,,,,,,
869,178007,,,,,,,,,,
870,177983,,,,,,,,,,
871,176930,,,,,,,,,,
872,176919,,,,,,,,,,
873,176619,,,,,,,,,,
874,175895,,,,,,,,,,
875,174549,,,,,,,,,,
876,172049,,,,,,,,,,
877,170815,,,,,,,,,,
878,170369,,,,,,,,,,
879,169706,,,,,,,,,,
880,147660,,,,,,,,,,
881,153296,,,,,,,,,,
882,124375,,,,,,,,,,
883,161754,,,,,,,,,,
884,169181,,,,,,,,,,
885,155887,,,,,,,,,,
886,164082,,,,,,,,,,
887,155897,,,,,,,,,,
888,160000,,,,,,,,,,
889,185090,,,,,,,,,,
890,195586,,,,,,,,,,
891,197891,,,,,,,,,,
892,220932,,,,,,,,,,
893,183556,,,,,,,,,,
894,200197,,,,,,,,,,
895,210950,,,,,,,,,,
896,188166,,,,,,,,,,
897,193290,,,,,,,,,,
898,231691,,,,,,,,,,
899,192012,,,,,,,,,,
900,146701,,,,,,,,,,
901,161805,,,,,,,,,,
902,205070,,,,,,,,,,
903,156432,,,,,,,,,,
904,52752,,,,,,,,,,
905,183569,,,,,,,,,,
906,202515,,,,,,,,,,
907,146963,,,,,,,,,,
908,205590,,,,,,,,,,
909,210455,,,,,,,,,,
910,181271,,,,,,,,,,
911,230168,,,,,,,,,,
912,184089,,,,,,,,,,
913,205850,,,,,,,,,,
